id,cluster,Lat,Lon
289,Reform cases,-18.917,29.817
291,Resists cases,-19.15722222,32.28222222
292,Reform cases,-18.9667,32.63333
293,Reform cases,-18.99888889,32.65388889
294,Reform cases,-19.033,29.783
295,Reform cases,-18.917,29.817
296,Reform cases,-26.16860358,28.74358177
297,Reform cases,39.61397851,2.657049894
298,Transform cases,51.05024361,6.43661499
301,Reform cases,51.81943938,14.55688477
302,Reform cases,51.57429575,14.17373657
303,Resists cases,51.52647465,14.51190948
304,Transform cases,53.51418452,10.06347656
305,Reform cases,51.91054955,14.64022636
307,Reform cases,53.00176888,9.229545593
308,Reform cases,-20.00690315,-43.65829468
309,Transform cases,-19.9391418,-44.01861191
310,Reform cases,-19.45688103,-41.09436035
311,Reform cases,8.643459,-72.734857
312,Reform cases,-12.52607729,27.84896851
321,Reform cases,41.73647896,23.47503662
322,Transform cases,43.04079077,27.87506104
324,Reform cases,41.88604883,23.47400665
326,Reform cases,42.35600691,23.56155396
328,Reform cases,43.44082995,27.83060074
329,Resists cases,42.34546929,25.52353978
332,Reform cases,43.20717779,23.53546143
333,Transform cases,42.18732024,24.33694839
336,Resists cases,42.29356419,25.93185425
337,Reform cases,41.467235,25.650072
341,Reform cases,-15.96264942,35.63690186
344,Resists cases,13.25063957,-87.63793945
345,Transform cases,-52.851,-71.916
346,Resists cases,-5.82388,-81.0322
347,Resists cases,-16.53,-71.6016
348,Resists cases,-10.74694444,-76.27361111
349,Reform cases,-15.19777778,-75.11388889
351,Reform cases,-28.56876842,-71.29629135
354,Transform cases,15.4748574,73.85009766
365,Reform cases,66.256,-166.0703
367,Reform cases,40.655121,-73.945731
368,Reform cases,30.318416,-91.237465
373,Reform cases,21.53173324,-105.2855444
374,Reform cases,54.22434948,17.09240913
376,Reform cases,54.00083779,-128.5527761
377,Resists cases,46.231641,27.66819
378,Resists cases,19.652288,83.371296
381,Resists cases,54.41704125,-126.7518401
382,Reform cases,50.14988139,-94.01318489
384,Transform cases,51.45027254,-123.6143826
385,Resists cases,46.58614039,-64.98516083
387,Resists cases,50.88496786,-119.8825441
388,Resists cases,57.83569865,-129.9784005
389,Reform cases,54.04035323,-132.1883151
390,Reform cases,46.056079,14.510193
392,Reform cases,46.236585,15.281038
395,Reform cases,45.960458,15.495014
399,Reform cases,46.1282219,15.03513336
400,Reform cases,46.29096014,15.05435944
404,Transform cases,66.785,19.123
405,Transform cases,57.86665379,18.96808863
410,Transform cases,68.7014,27.5482
414,Transform cases,68.229,13.658
417,Transform cases,55.64194906,13.68896484
426,Reform cases,36.54605272,126.3235474
427,Reform cases,35.82087544,126.4780426
428,Reform cases,35.48751102,128.7652588
431,Reform cases,37.26312408,127.1420288
432,Reform cases,35.06597314,126.8261719
434,Reform cases,12.3128757,-14.62572098
435,Reform cases,-14.02595661,37.83691406
436,Reform cases,42.8159606,-2.774477005
438,Reform cases,-28.92283329,-67.44918823
439,Transform cases,-29.326442,-70.014238
440,Transform cases,-27.03466377,-65.3338623
442,Resists cases,-19.57014214,-65.859375
444,Transform cases,-17.41354611,-66.29882813
446,Reform cases,-17.81537845,-67.45010376
447,Reform cases,-8.798904024,-63.95141602
448,Reform cases,-2.423822019,-54.7064209
450,Resists cases,-8.751401461,-63.9239502
451,Reform cases,-45.44182623,-72.66769409
452,Resists cases,-28.06592147,-69.38369751
453,Reform cases,8.271291115,-73.00598145
457,Reform cases,-3.0692,24.6459
458,Transform cases,-0.817080458,-77.5227356
459,Resists cases,-0.808841541,-79.5249939
462,Transform cases,-0.96949719,-75.92010498
463,Reform cases,15.568951,-91.001195
464,Resists cases,3.492860171,8.692474365
467,Resists cases,37.80340948,41.53244019
469,Reform cases,28.27028894,83.9821279
471,Resists cases,9.06,7.48
472,Transform cases,9.396,76.547
473,Transform cases,20.2721,86.3652
475,Reform cases,-1.78862923,-70.34729004
476,Reform cases,-8.453355553,-75.30303955
477,Resists cases,-6.973287,-78.522463
478,Resists cases,22.81732704,88.23944092
479,Reform cases,-4.214943141,39.28710938
483,Reform cases,16.856994,-91.503762
484,Transform cases,-17.19327474,-70.93597412
485,Reform cases,18.66917738,32.05209732
486,Resists cases,0.700360976,-77.16436386
487,Transform cases,-33.26969457,-62.26638794
488,Reform cases,5.815038122,13.37081909
489,Reform cases,-33.06852769,-58.17810059
491,Reform cases,-2.18025977,-79.88708496
492,Transform cases,-42.52069953,-71.14562988
493,Transform cases,26.96002173,75.81802368
494,Transform cases,0.246161657,-76.81331635
498,Reform cases,-39.7293,-73.1428
500,Reform cases,-38.56212645,-72.50564575
503,Reform cases,0.389478371,-78.27690125
508,Resists cases,-4.836692,-79.41184
510,Resists cases,8.012996241,-76.2090683
511,Reform cases,7.603979549,-77.30317354
513,Reform cases,-11.39387923,-72.60314941
515,Reform cases,9.348125054,-82.1559906
516,Reform cases,15.77507392,-87.49099731
518,Reform cases,9.306793481,-83.12393188
519,Reform cases,-15.94548429,-44.85168457
520,Resists cases,-20.31114512,-40.32531738
521,Resists cases,4.039617827,-77.03613281
522,Resists cases,3.480523431,-63.77563477
525,Resists cases,-24.46715066,-56.33056641
526,Resists cases,17.39872215,-99.77748871
527,Resists cases,7.476857401,-76.54724121
534,Reform cases,47.38905261,18.465271
535,Reform cases,47.08537757,17.49615669
536,Reform cases,46.0884718,18.22631836
537,Reform cases,5.345849347,6.721256983
538,Reform cases,4.628538311,7.270197008
547,Reform cases,5.653602868,6.87286291
548,Reform cases,4.59444651,5.395801055
549,Reform cases,5.08333,6.35
550,Reform cases,5.342925423,6.221694984
551,Reform cases,4.820881569,6.918333418
554,Reform cases,5.903106127,5.654625894
557,Reform cases,4.538153714,6.404913259
559,Reform cases,4.865653497,6.921466238
561,Reform cases,5.07011089,6.436515016
562,Reform cases,5.597046745,6.930996455
563,Reform cases,4.978664632,7.224800847
565,Reform cases,5.47518527,6.724346614
567,Reform cases,5.603646939,5.289067461
568,Reform cases,4.891473044,6.903775566
571,Reform cases,5.51623017,5.737370391
572,Reform cases,5.576421668,5.819041006
573,Reform cases,7.087065806,4.836706646
574,Reform cases,4.717163905,6.393762095
576,Reform cases,4.960983173,7.051849365
578,Reform cases,4.768354023,7.312316328
579,Reform cases,4.931129673,6.257744233
581,Reform cases,4.722577499,5.863033481
582,Resists cases,4.443271511,7.165582685
583,Reform cases,4.477856,5.787964
587,Reform cases,5.039057738,6.405491307
589,Reform cases,4.301991955,6.245384216
592,Reform cases,6.507039174,3.255386353
607,Reform cases,4.546308225,5.960083008
617,Reform cases,5.516293704,5.738682747
625,Transform cases,5.000145199,6.253108978
627,Reform cases,9.210560108,9.755859375
644,Resists cases,5.465629661,6.72088623
647,Reform cases,5.454693182,8.147735596
651,Reform cases,-26.188099,28.047409
652,Reform cases,-32.212801,24.537048
655,Reform cases,3.976601,-77.333586
656,Reform cases,3.976601,-77.333586
658,Transform cases,6.307777778,-77.36666667
659,Resists cases,5.549166667,-75.64361111
660,Resists cases,10.53507,-73.56926
661,Reform cases,1.58479,-77.152691
663,Resists cases,2.298273,-75.627342
664,Resists cases,8.313121,-75.137049
666,Transform cases,3.280886,-76.508102
667,Transform cases,11.03556,-72.760494
670,Reform cases,4.436388889,-75.6
671,Transform cases,12.95569902,-81.55700684
672,Resists cases,7.068185,-72.067566
673,Reform cases,2.517805,-69.095764
674,Resists cases,8.593751485,-73.73366833
675,Resists cases,8.767689,-73.933285
676,Resists cases,2.450066699,-75.56281351
677,Resists cases,7.102307,-73.407665
678,Reform cases,5.781944444,-75.78333333
679,Transform cases,4.4374,-75.5028
680,Resists cases,9.575021883,-73.4841156
681,Resists cases,6.270253,-73.822632
682,Resists cases,1.892,-76.8589
683,Resists cases,5.478958,-75.598984
684,Reform cases,2.828888889,-76.51583333
685,Resists cases,3.275573,-76.637192
686,Resists cases,4.038065,-76.226625
688,Reform cases,5.328012,-73.70024
689,Reform cases,11.985592,-72.007553
690,Reform cases,11.297776,-74.167671
691,Reform cases,4.793888889,-75.82388889
692,Transform cases,1.791666667,-78.67888889
693,Resists cases,6.540833333,-74.86722222
695,Resists cases,6.878333333,-76.00666667
696,Reform cases,11.26388889,-73.27416667
697,Reform cases,5.782635,-77.25421
698,Reform cases,11.260154,-74.199711
699,Reform cases,11.24138889,-74.17194444
700,Resists cases,5.338888889,-75.72333333
703,Reform cases,3.848055556,-76.80194444
704,Transform cases,3.761944444,-76.05277778
705,Reform cases,4.558055556,-74.1275
706,Resists cases,8.062222222,-74.26111111
708,Resists cases,3.026944444,-76.63888889
710,Reform cases,5.593888889,-74.97472222
711,Resists cases,7.135232838,-75.66064452
712,Reform cases,7.365190795,-72.88467407
715,Resists cases,23.48070801,85.02901799
722,Resists cases,-25.6185,27.1915
725,Resists cases,29.843,-107.4572
726,Reform cases,-38.053016,-70.321142
729,Resists cases,-27.3308,-66.609
730,Reform cases,-41.645826,-69.476454
731,Transform cases,-34.973,-67.685
732,Reform cases,-46.97,-70.56
734,Reform cases,-25.32222222,-64.91666667
735,Resists cases,-23.2108,-65.712
736,Resists cases,-42.394,-68.771
741,Resists cases,-25.4158,-67.0702
742,Reform cases,-37.09941369,-69.37093735
743,Reform cases,-32.2483,-69.438
744,Reform cases,-46.68333333,-70.28333333
745,Reform cases,-38.13944444,-61.79416667
746,Resists cases,-17.17666667,-68.45222222
747,Resists cases,-18.41166667,-66.80527778
748,Reform cases,-17.79861111,-67.45527778
749,Reform cases,-19.61166667,-65.7475
750,Resists cases,-21.09444444,-67.21388889
752,Resists cases,-18.48666667,-66.38722222
753,Reform cases,-30.24361111,-71.09055556
754,Reform cases,-28.16527778,-69.55166667
755,Transform cases,-27.51361111,-70.29083333
761,Reform cases,-43.59055556,-74.70583333
763,Transform cases,-38.13055556,-73.28611111
765,Resists cases,-31.7186,-70.4925
766,Reform cases,-30.69611111,-70.95916667
768,Transform cases,-23.19,-68.00472222
771,Reform cases,-31.62722222,-71.16944444
772,Reform cases,-30.1425,-70.40638889
773,Reform cases,10.10944444,-84.71722222
774,Transform cases,9.420833333,-83.34722222
775,Reform cases,10.841775,-84.313863
776,Resists cases,-1.333333333,-79.25027778
